CustomerID,year_month,monthly_txn_count,monthly_txn_amount
49,2023-09,1,969.12
50,2022-08,1,3199.33
50,2023-10,1,525.39
50,2023-11,1,9419.99
50,2024-02,1,6211.83
50,2024-04,1,685.43
50,2024-12,1,6896.71
50,2025-01,1,907.46
52,2022-10,1,9555.22
52,2022-12,1,9003.24
52,2023-04,1,2089.7
52,2023-09,1,6949.94
52,2024-02,1,741.14
52,2024-07,1,4102.78
52,2024-10,1,5775.42
52,2024-11,1,6027.79
52,2024-12,2,9326.18
52,2025-05,1,8131.78
53,2023-06,1,4466.63
53,2024-10,1,2930.23
54,2022-08,1,6802.47
54,2025-01,1,2396.79
56,2023-03,1,6114.62
56,2024-03,1,9078.98
56,2025-05,1,9125.4
61,2023-09,1,5734.39
62,2022-05,1,2702.18
62,2022-10,1,6726.69
62,2024-02,1,4245.39
62,2024-08,1,3539.82
62,2025-02,1,260.91
62,2025-04,1,1998.8
63,2024-03,1,2173.7
63,2024-11,1,1120.77
63,2024-12,1,8049.87
64,2024-12,1,7173.59
65,2022-05,1,5610.46
65,2022-06,1,4630.15
65,2022-11,1,3560.53
65,2024-02,1,314.15
65,2024-09,1,8725.37
65,2024-12,1,4021.27
66,2023-01,1,3810.31
66,2024-08,1,1794.83
66,2024-09,1,8557.01
68,2025-02,1,9279.13
69,2023-10,2,13520.0
69,2025-04,1,3392.56
70,2022-12,1,8159.72
70,2023-12,1,3204.4
70,2024-09,1,4785.52
71,2022-05,1,2808.57
71,2023-04,1,5681.06
71,2023-06,2,8684.63
71,2024-10,1,8581.97
71,2025-04,2,6353.09
73,2022-05,1,2488.64
73,2022-08,1,5942.88
73,2024-05,1,3707.06
73,2024-06,1,5456.13
73,2024-07,1,356.93
73,2024-08,1,2159.11
73,2024-11,1,7104.35
73,2024-12,1,8944.6
73,2025-04,1,9160.0
77,2022-07,1,9603.48
77,2022-08,1,862.21
77,2022-12,1,9313.96
77,2023-01,1,9280.86
77,2023-03,1,3656.79
77,2023-05,1,8911.2
77,2024-02,1,7674.69
77,2024-04,1,5554.48
77,2024-07,1,6622.22
77,2024-08,2,11730.439999999999
77,2024-09,2,6371.44
77,2024-12,1,7310.03
78,2022-08,1,5827.53
78,2023-08,1,1172.53
78,2024-05,1,6262.65
78,2025-03,1,1762.05
79,2022-06,1,2863.1
79,2022-07,1,9483.56
79,2022-09,1,7161.86
79,2023-06,1,4618.34
79,2023-08,1,7399.03
79,2023-10,2,9411.92
79,2024-03,1,7105.47
79,2024-06,1,4011.09
79,2024-07,1,8521.27
79,2024-09,1,1669.29
79,2024-10,1,3197.62
79,2024-11,1,9264.0
79,2025-01,1,2114.04
79,2025-02,1,380.2
79,2025-04,1,3370.16
81,2022-06,1,3142.3
81,2023-08,1,6455.28
81,2023-09,1,1343.78
81,2024-03,1,5761.45
81,2024-04,1,520.36
82,2023-09,1,5269.1
82,2024-11,1,2134.31
84,2022-05,1,5770.1
84,2023-09,2,9554.26
84,2023-11,1,6578.38
84,2024-11,1,7651.39
84,2025-01,1,8099.73
84,2025-04,1,4759.97
85,2022-07,1,5985.07
85,2023-01,1,2010.73
85,2023-03,1,3911.52
85,2023-06,1,3527.33
85,2023-12,1,3838.82
86,2022-06,2,7612.639999999999
86,2022-10,1,7030.66
86,2022-12,1,511.79
86,2023-02,1,168.67
86,2023-08,1,5384.78
86,2023-12,1,9795.06
86,2024-07,1,9207.07
86,2024-11,1,3796.39
86,2025-01,1,8629.26
87,2022-11,1,4643.15
87,2023-01,1,6315.87
87,2023-03,1,8084.42
87,2023-09,1,1406.17
87,2023-11,1,7277.22
87,2024-10,1,318.1
87,2024-11,1,5385.59
87,2025-03,1,865.29
88,2023-07,1,2730.73
88,2023-10,1,1305.83
88,2024-06,1,5014.01
91,2023-04,1,72.01
91,2023-12,1,9093.6
91,2024-01,1,4241.71
91,2024-06,1,8848.98
91,2024-09,1,5783.37
92,2022-06,1,2474.91
92,2022-11,1,6163.41
92,2023-03,1,3459.31
92,2023-04,1,6734.33
92,2023-05,1,6549.91
92,2023-07,1,9226.16
92,2023-12,1,6634.91
92,2024-04,1,241.33
92,2024-07,1,3976.67
92,2024-09,1,5495.22
92,2025-01,1,1280.86
95,2022-07,1,232.61
95,2023-06,1,6671.41
96,2023-03,1,9504.61
96,2023-04,1,5832.68
96,2023-11,1,5607.85
96,2024-04,1,1960.22
97,2023-07,1,5233.66
98,2022-06,1,7813.39
98,2022-08,1,4259.66
98,2023-03,1,7592.21
98,2023-12,1,4018.48
98,2024-08,1,1214.98
98,2024-09,1,7633.98
98,2025-02,2,10865.92
99,2022-06,1,665.34
99,2022-10,1,6234.83
99,2023-08,1,362.54
99,2024-04,1,1714.46
99,2024-06,1,6580.56
100,2023-05,1,6994.89
100,2023-09,1,9872.72
100,2024-09,1,8383.19
103,2022-06,1,3655.51
103,2022-10,1,3369.7
103,2023-11,1,3744.7
103,2024-10,1,1335.14
103,2025-04,1,951.52
104,2022-11,1,4483.96
104,2023-04,1,6785.56
104,2023-08,1,3994.6
104,2023-11,1,3662.42
104,2024-02,1,8264.48
104,2024-12,1,9665.52
104,2025-01,1,2367.16
104,2025-04,1,5190.54
106,2022-11,1,9001.2
106,2022-12,1,3019.8
106,2024-01,1,7234.41
106,2024-03,2,4314.34
106,2024-05,1,9637.74
106,2024-07,1,3221.83
106,2024-08,2,9245.320000000002
106,2025-04,1,5818.16
107,2024-02,1,1319.14
107,2024-05,1,6998.15
107,2025-02,2,10343.26
107,2025-04,1,9822.85
109,2023-04,2,4940.900000000001
109,2023-09,1,4144.4
110,2022-11,1,3238.83
110,2023-03,1,7105.45
110,2024-06,1,8699.08
110,2025-02,1,4544.23
112,2022-08,2,13464.55
112,2023-05,1,739.84
112,2024-08,1,8600.69
112,2025-01,1,6828.59
112,2025-02,2,6200.5199999999995
116,2022-12,1,2594.55
116,2023-08,1,374.0
116,2024-03,1,9646.05
117,2022-07,1,9419.52
117,2022-12,1,7056.39
117,2023-06,1,120.03
117,2023-10,1,1453.67
117,2023-12,1,9028.2
117,2024-07,1,5259.77
117,2024-11,1,3500.8
117,2025-02,1,6095.84
117,2025-05,1,8608.51
118,2023-04,1,6978.79
118,2023-05,1,7861.18
118,2023-09,1,5636.22
118,2023-12,1,8797.29
118,2024-08,1,5863.72
119,2022-08,1,1843.85
119,2024-01,1,8610.43
119,2024-02,1,4021.56
119,2024-04,2,12791.71
119,2024-08,1,4215.33
125,2023-08,1,2252.85
125,2024-02,1,9472.93
126,2022-06,1,1870.43
126,2023-05,1,9135.34
127,2022-11,1,7470.16
127,2023-01,1,7936.41
127,2023-08,1,6374.98
128,2022-06,1,4132.32
128,2023-03,1,6129.31
128,2024-02,2,13226.77
128,2024-09,1,1896.22
128,2024-11,2,10760.05
130,2023-01,1,8123.38
130,2024-10,1,8126.08
130,2024-11,1,3484.92
132,2022-05,1,8220.89
132,2022-10,1,6688.5
132,2023-11,1,3633.52
132,2024-11,1,5389.76
133,2022-10,1,3692.46
133,2023-04,1,1206.64
133,2023-08,3,13575.03
133,2023-10,1,4073.54
133,2024-01,1,8165.05
133,2024-03,2,15819.720000000001
133,2024-04,1,949.23
133,2024-08,1,5201.69
133,2024-09,1,6776.23
134,2022-06,2,9807.41
134,2022-07,1,8885.82
134,2022-08,2,11364.52
134,2022-11,1,8244.35
134,2023-01,1,3393.26
134,2023-03,1,2693.38
134,2023-05,1,7241.53
134,2024-12,1,2885.82
134,2025-01,1,3757.43
135,2022-06,1,9694.57
135,2023-07,2,5596.639999999999
135,2023-09,1,9496.19
135,2024-02,2,14479.36
135,2024-05,1,2246.14
135,2024-07,2,8497.68
135,2024-09,1,4346.81
136,2022-11,1,9109.85
136,2023-05,1,1226.87
136,2023-11,1,690.8
136,2024-02,1,7144.91
137,2022-09,1,6424.65
137,2023-06,1,9471.82
137,2024-03,1,2365.29
137,2024-04,1,2670.97
137,2025-05,1,1954.68
139,2022-06,1,7075.87
139,2022-12,1,8964.06
139,2023-04,1,8753.85
139,2023-10,1,1536.92
139,2023-12,1,500.56
139,2024-02,1,9179.29
139,2025-04,1,339.58
140,2022-09,1,2105.12
140,2023-03,1,1387.04
140,2023-07,1,6044.79
140,2023-09,1,4202.3
140,2024-08,1,7932.9
140,2025-03,1,209.36
142,2022-07,1,682.47
142,2022-08,1,1335.41
142,2023-07,1,7848.21
142,2023-10,1,3389.85
142,2023-12,1,7371.59
142,2024-03,1,2635.8
142,2024-06,1,8768.84
142,2025-03,1,4071.91
145,2022-10,1,7441.47
145,2023-10,1,1058.43
147,2022-08,1,7905.68
147,2023-01,1,2279.94
147,2023-07,1,7263.92
147,2024-03,1,3870.09
147,2024-04,1,775.71
147,2025-03,1,6028.94
147,2025-04,1,3938.86
149,2022-10,1,7397.28
149,2022-11,1,6444.49
149,2022-12,1,2628.59
149,2023-01,1,4270.34
149,2023-08,1,5937.35
149,2023-12,1,6199.92
149,2024-04,1,5470.46
150,2023-03,1,9638.9
150,2024-07,1,6498.74
150,2024-10,2,7209.24
150,2024-12,1,6279.87
151,2023-09,1,2267.24
151,2023-11,1,5896.8
151,2025-01,1,48.56
154,2023-11,2,4954.65
154,2024-07,1,8369.6
156,2022-05,1,3253.46
156,2022-10,1,3091.13
156,2023-01,1,835.15
156,2023-08,1,2864.66
156,2024-02,1,9567.95
156,2024-04,1,4721.25
165,2022-08,1,8929.58
165,2022-10,1,4709.82
167,2023-03,1,6073.69
167,2023-06,1,4951.2
167,2023-09,1,9421.99
167,2023-12,1,6235.1
167,2025-01,1,7752.66
168,2022-06,1,6165.96
168,2022-10,1,9565.74
168,2023-09,2,5775.87
168,2023-11,1,7029.3
168,2024-08,2,15742.989999999998
168,2025-02,1,559.16
168,2025-04,1,2038.8
169,2022-07,2,8876.73
170,2022-08,1,7390.49
170,2023-01,1,665.1
170,2023-12,1,6667.89
170,2024-02,1,2647.72
170,2024-08,1,2492.06
171,2022-09,3,13286.6
171,2022-10,1,1880.66
171,2022-11,1,1620.42
171,2022-12,1,3542.12
171,2023-03,1,9222.68
171,2023-12,1,2148.31
171,2024-01,1,7531.75
171,2024-07,1,8683.55
171,2024-12,1,5556.68
171,2025-01,2,9203.06
171,2025-03,1,3327.39
171,2025-05,1,3744.66
173,2022-05,1,1479.61
173,2022-07,2,6680.6900000000005
173,2022-10,1,9737.72
173,2022-11,1,399.03
173,2023-05,1,3862.78
173,2023-11,1,3154.19
173,2024-02,1,9969.99
176,2022-12,1,2756.36
177,2022-08,1,2255.61
177,2022-10,1,5810.16
177,2023-06,1,9407.24
177,2023-09,1,634.66
177,2023-10,1,3820.34
177,2024-02,1,3522.62
177,2024-10,1,3760.68
178,2022-07,1,4549.69
178,2022-08,1,5540.8
178,2022-11,1,3685.39
178,2025-04,1,6745.84
179,2022-06,1,2623.33
179,2022-11,1,5511.3
179,2023-07,1,4449.45
179,2024-02,1,5439.46
179,2024-07,1,6153.51
179,2025-01,1,7457.88
181,2023-01,1,8497.51
181,2023-07,1,1755.6
181,2025-03,1,3095.73
181,2025-04,1,3239.91
183,2022-06,3,23247.47
183,2022-07,1,5001.07
183,2022-08,1,3349.42
183,2022-09,1,9198.14
183,2022-10,1,1085.2
183,2023-06,1,1577.79
183,2023-09,1,383.9
183,2023-11,1,8497.44
183,2024-09,1,4546.34
184,2022-05,1,838.41
184,2022-09,1,5008.27
184,2022-11,1,3757.75
184,2023-04,1,1099.4
184,2023-05,1,9641.46
184,2023-08,1,6253.8
184,2023-10,1,4553.05
184,2024-05,1,5298.34
184,2024-11,1,3566.34
184,2025-05,1,68.92
188,2023-02,1,1757.1
188,2023-12,1,6840.45
188,2024-05,1,6491.49
189,2022-06,1,3762.28
189,2023-07,1,2837.42
189,2023-08,1,4790.4
189,2025-03,1,2266.56
190,2023-04,1,5110.14
190,2023-12,1,1744.36
191,2022-05,1,728.38
191,2022-07,1,8142.74
191,2022-12,1,5199.11
191,2023-05,1,3744.03
191,2023-08,1,8311.69
191,2023-10,2,8933.14
191,2024-01,2,9696.58
191,2024-03,1,2795.56
191,2024-06,1,6602.19
191,2024-10,1,110.35
191,2024-11,1,7030.79
191,2025-03,1,7688.07
194,2024-11,1,5965.44
195,2022-09,1,5883.21
195,2022-10,1,491.68
195,2022-11,1,5405.4
195,2023-03,1,792.73
195,2024-11,1,7344.84
198,2023-05,1,5712.93
198,2023-06,1,5986.38
198,2024-04,1,8367.96
198,2024-08,1,4314.46
198,2025-02,1,8017.34
199,2022-09,1,205.47
199,2023-01,2,9034.69
199,2024-05,1,8323.52
203,2022-07,1,3744.45
203,2023-02,1,1543.08
203,2023-04,1,8499.85
205,2022-08,1,4393.23
205,2022-09,1,8470.92
205,2023-01,1,8965.73
205,2023-05,1,9093.78
205,2023-12,1,3118.45
205,2024-02,1,5067.75
205,2024-06,1,3291.13
205,2024-09,1,5506.69
206,2022-10,1,2864.24
206,2023-07,1,3774.19
206,2023-09,1,244.23
206,2023-10,2,13619.56
206,2023-12,1,2017.6
206,2024-09,2,10060.140000000001
206,2024-12,1,4661.02
206,2025-01,1,8940.56
206,2025-02,1,7383.81
207,2022-12,1,3044.1
207,2023-08,1,5742.05
207,2023-10,1,2630.23
207,2024-08,1,5100.5
207,2024-11,1,3062.45
209,2022-06,1,567.24
209,2022-08,2,9941.33
209,2022-11,1,7741.46
209,2023-05,1,2732.09
209,2023-09,2,11561.759999999998
209,2023-10,1,2813.44
209,2023-11,1,3653.12
209,2024-10,1,606.45
209,2025-02,1,9163.17
213,2023-08,1,4230.89
213,2023-10,1,5834.48
213,2023-11,1,1256.77
213,2023-12,1,6389.3
213,2024-04,1,3476.66
213,2024-09,1,4164.44
213,2024-12,2,11736.109999999999
213,2025-02,2,7869.39
213,2025-03,1,8283.57
215,2022-10,1,9371.85
215,2023-05,1,9822.43
215,2024-08,1,4317.4
216,2022-06,1,3282.53
216,2023-04,1,3286.97
216,2023-10,1,8264.83
216,2023-11,1,7776.19
216,2024-06,1,9718.56
217,2022-07,1,7315.61
217,2022-10,1,8648.12
217,2023-08,1,2312.72
217,2023-09,1,2852.76
217,2024-07,1,2482.5
219,2022-05,1,5685.16
219,2023-03,1,6772.38
219,2023-04,1,6595.41
219,2023-10,1,4060.04
219,2024-02,1,5929.8
219,2024-08,1,1341.02
219,2024-11,1,3831.95
219,2025-03,1,3874.73
220,2022-09,1,6708.39
220,2023-02,1,7918.09
221,2022-06,1,232.01
221,2022-08,1,6059.61
221,2023-07,2,10469.51
221,2025-01,1,1888.93
224,2022-07,1,8013.17
224,2022-11,1,7428.06
224,2023-07,1,856.09
224,2023-12,1,3206.66
224,2025-01,1,2645.99
224,2025-03,1,8527.9
226,2022-07,1,9052.84
226,2022-08,3,11005.810000000001
226,2022-11,1,5664.17
226,2022-12,1,1570.85
226,2023-01,1,1163.09
226,2023-06,1,1118.22
226,2023-08,1,6529.77
226,2023-12,1,4118.5
226,2024-06,1,4268.18
226,2024-07,1,5910.29
226,2024-08,2,9948.710000000001
226,2024-09,2,15129.06
226,2024-10,1,9657.4
226,2025-02,1,1101.8
230,2022-10,1,8552.97
230,2023-08,1,8782.88
230,2024-02,1,7546.7
230,2025-05,1,3460.0
231,2022-06,1,9940.4
231,2022-08,1,5521.97
231,2022-10,1,3100.73
231,2023-03,2,11149.4
231,2023-12,1,7527.76
231,2024-03,1,7227.55
231,2024-10,1,5739.48
231,2024-11,1,6030.29
231,2024-12,1,3376.16
231,2025-01,1,5931.55
234,2022-05,1,5962.09
234,2022-06,1,3708.92
234,2022-07,1,9515.11
234,2022-09,1,847.57
234,2023-01,1,6367.55
234,2023-06,1,5673.99
234,2023-09,1,9140.16
234,2023-10,2,6555.96
234,2023-11,1,3342.29
234,2024-01,1,4552.73
234,2024-02,1,1095.27
234,2024-03,1,1180.66
234,2024-05,1,3368.12
234,2024-08,1,5381.8
236,2024-05,1,4532.56
236,2024-06,1,7507.34
236,2024-11,1,5625.42
236,2025-03,1,1266.44
237,2024-06,1,522.54
237,2024-07,1,629.08
237,2024-09,1,1961.95
238,2022-05,1,7472.45
238,2023-06,1,9189.57
238,2023-07,2,4569.96
238,2023-09,1,7151.63
238,2024-11,1,444.37
239,2022-05,1,5511.31
239,2023-04,1,2214.51
239,2023-06,1,4816.79
242,2023-10,1,4587.01
242,2024-04,2,10033.82
242,2024-06,1,9760.08
243,2022-06,1,4696.66
243,2022-09,1,4109.63
243,2023-08,1,3964.44
243,2024-06,2,14634.36
243,2025-04,1,2078.19
245,2022-12,1,3994.92
245,2023-04,1,8309.64
245,2023-07,1,8723.36
245,2024-02,1,5367.98
245,2025-03,1,312.04
246,2022-11,1,6145.98
246,2023-04,1,8563.05
246,2023-05,1,2764.22
246,2023-12,1,8838.2
246,2024-06,1,9752.92
246,2024-08,1,3070.21
246,2024-10,1,3509.53
248,2023-09,1,4524.97
251,2022-06,1,2927.14
251,2022-07,2,7815.63
251,2022-08,2,13930.5
251,2022-12,2,9845.89
251,2023-02,2,8128.04
251,2023-05,2,9976.25
251,2023-06,1,480.98
251,2023-07,1,1310.31
251,2024-01,1,9047.55
251,2024-04,1,2581.59
251,2024-05,2,7106.93
251,2024-06,1,4650.77
251,2024-07,1,5609.05
251,2024-08,1,8572.46
251,2025-02,2,8456.77
251,2025-03,3,13733.439999999999
252,2022-05,1,6773.77
252,2022-07,1,6920.16
252,2023-07,1,5141.29
252,2023-10,1,5604.33
252,2024-11,1,7927.53
253,2022-08,1,7851.07
253,2022-10,1,9768.14
253,2023-07,1,157.61
253,2023-08,1,7816.74
253,2023-09,1,8971.35
253,2024-03,1,3344.52
253,2024-04,1,4315.46
253,2024-06,1,7037.22
253,2024-07,1,4680.44
253,2024-12,1,6786.42
253,2025-02,1,8684.49
253,2025-04,1,4324.87
254,2024-02,1,6265.49
254,2025-02,1,6778.4
254,2025-05,1,6067.8
255,2022-07,1,5990.19
255,2023-01,1,420.25
255,2023-12,1,5253.6
255,2024-01,1,6233.14
255,2024-06,2,5636.799999999999
255,2024-10,2,7806.78
255,2024-11,1,2435.23
255,2024-12,2,9031.72
255,2025-05,1,237.24
257,2022-07,1,9295.16
257,2022-08,1,3894.7
257,2022-09,1,1098.03
257,2022-12,1,8404.61
257,2023-06,1,3740.06
257,2024-05,1,8367.34
257,2024-07,1,8139.9
257,2024-11,1,3616.09
257,2024-12,1,6332.12
257,2025-01,1,6847.81
257,2025-05,1,7310.91
258,2024-01,1,6942.19
258,2024-03,1,516.48
259,2022-07,1,2879.37
259,2023-07,1,6527.9
259,2023-09,1,9037.99
259,2023-11,1,9533.84
259,2023-12,1,9919.52
259,2024-04,1,274.06
259,2024-08,1,9601.52
261,2022-06,1,247.3
261,2022-11,1,2263.68
261,2023-02,1,1172.9
261,2023-04,1,7037.76
261,2025-01,1,6457.56
262,2023-02,1,70.9
262,2024-09,1,1659.52
262,2025-04,1,682.43
263,2022-09,1,7143.72
263,2023-11,2,15156.46
263,2024-02,1,923.48
263,2024-06,1,6101.21
263,2024-11,1,5453.56
264,2022-11,1,5466.33
264,2023-03,1,299.76
264,2023-08,1,5237.32
264,2024-02,1,7725.7
264,2024-05,1,9542.6
264,2025-01,1,387.76
274,2022-06,1,478.65
274,2022-07,1,6742.87
274,2022-08,1,2579.37
274,2022-10,1,6844.32
274,2023-05,2,8846.83
274,2023-07,1,4303.08
274,2024-01,1,5093.77
274,2024-02,1,3001.16
274,2024-09,1,8596.36
274,2024-12,1,3377.7
274,2025-02,1,6606.68
274,2025-04,1,7992.45
275,2022-05,1,8993.78
275,2024-12,1,2900.57
275,2025-05,3,12277.49
277,2023-07,1,8582.17
277,2024-01,1,2546.55
277,2024-09,1,1357.69
278,2022-09,1,2403.37
278,2022-10,1,1510.83
278,2022-12,2,5101.04
278,2023-02,1,4839.32
278,2024-02,1,5077.07
278,2024-03,1,1077.05
278,2025-01,1,6434.29
279,2023-12,1,5609.99
279,2024-01,1,1743.36
279,2024-08,1,3882.64
279,2024-10,1,8572.2
280,2023-07,1,2290.17
281,2022-09,1,7723.49
281,2022-10,1,4387.43
281,2022-11,1,8331.31
281,2022-12,1,7516.74
281,2023-04,2,14408.19
281,2023-08,1,5297.8
281,2024-07,1,828.16
281,2024-08,1,5279.66
281,2024-09,1,1883.01
281,2024-10,1,9432.98
281,2024-12,1,2457.52
281,2025-02,3,5413.650000000001
281,2025-04,1,5595.57
282,2022-07,2,6415.32
282,2023-01,1,8986.62
282,2023-04,1,2708.31
282,2023-05,1,7056.39
282,2024-01,1,8345.77
282,2024-05,1,1863.04
282,2024-06,1,9363.1
283,2022-05,1,9771.3
283,2024-07,1,628.98
283,2024-10,1,3414.33
284,2024-02,1,8027.49
284,2025-05,1,7850.52
285,2022-07,1,7313.62
285,2022-12,1,7654.31
285,2023-04,1,4116.82
285,2023-05,1,5639.18
285,2023-08,1,7864.97
285,2023-10,1,4888.3
285,2023-11,1,4487.45
285,2023-12,1,6073.78
285,2024-03,1,1827.73
285,2024-09,2,9137.79
285,2024-10,1,766.8
285,2025-03,1,7748.09
286,2024-05,1,8914.7
286,2024-12,1,5659.24
286,2025-01,1,2351.0
288,2022-07,1,3064.61
288,2022-12,1,389.29
288,2023-02,1,7220.91
288,2023-11,1,4243.29
288,2023-12,1,6449.65
288,2024-02,2,9643.779999999999
288,2024-04,2,5827.39
288,2024-06,1,52.67
288,2024-10,1,5962.48
288,2025-01,1,1420.57
290,2023-05,1,5437.82
290,2023-06,1,409.38
290,2024-02,1,7627.94
292,2022-06,1,728.88
292,2023-01,2,7172.120000000001
292,2023-07,1,57.23
292,2023-09,1,7608.94
292,2024-03,1,3530.0
292,2024-04,1,6204.14
292,2024-09,1,9223.72
293,2022-06,1,2550.12
293,2023-02,1,605.7
293,2023-07,1,1610.88
293,2023-09,1,3285.94
293,2024-05,1,9345.66
293,2025-04,1,5509.36
293,2025-05,1,8689.37
294,2022-08,1,1542.08
294,2022-10,1,9015.86
294,2022-11,1,5110.26
294,2023-01,1,5679.82
294,2023-05,1,1828.37
294,2023-07,1,726.26
294,2023-10,1,5721.15
294,2024-02,1,123.92
294,2024-05,1,3275.27
294,2024-08,1,4371.96
294,2024-10,1,875.56
300,2023-04,1,4432.87
300,2024-09,1,179.91
300,2024-12,1,5592.32
300,2025-03,1,7063.22
301,2022-06,1,1634.96
301,2022-09,1,2430.75
301,2022-11,1,197.7
301,2023-01,1,6267.98
301,2023-03,1,2417.94
301,2023-08,2,8134.43
301,2024-03,1,231.17
301,2024-04,1,6392.31
301,2024-05,2,4054.58
302,2022-08,1,162.68
302,2023-01,1,5651.51
302,2023-03,1,5123.03
302,2024-02,1,6852.18
302,2024-05,1,8214.37
302,2024-06,1,7351.1
302,2024-11,1,1292.01
302,2024-12,1,9695.79
302,2025-02,1,3278.9
303,2022-10,1,734.05
303,2022-11,1,2733.01
303,2022-12,1,895.7
303,2023-02,1,3317.61
303,2023-08,1,5714.98
303,2023-09,1,9163.12
303,2024-06,1,4358.93
304,2022-06,1,3433.4
304,2022-11,1,8317.4
304,2023-01,2,14383.79
304,2023-03,1,272.79
304,2023-06,1,6169.54
304,2023-11,2,10607.49
